lesson_id,subject,theme,slide_count,pdf_success,pptx_mb,pdf_mb
p7_t1_christian_religious_education_0101,Christian Religious Education,Christians and the Holy Spirit (Topic 1: Enriched in the Spirit),8,True,2.2,2.36
p7_t1_christian_religious_education_1205,Christian Religious Education,Christians and the Holy Spirit,8,True,2.44,2.57
p7_t1_english_0101,English,1.1 School Holidays / 1A Holiday Plans,8,True,2.49,2.63
p7_t1_english_1205,English,3.4 Final Review and Assessment,8,True,2.32,2.46
p7_t1_integrated_science_0101,Integrated Science,The Human Body: Muscular-Skeletal System,8,True,2.12,2.28
p7_t1_integrated_science_1205,Integrated Science,3.4 Energy Resources in the Environment / Final Review,8,True,2.12,2.28
p7_t1_mathematics_0101,Mathematics,01 Sets (Set Concepts),8,True,2.28,2.43
p7_t1_mathematics_1205,Mathematics,4.0 Patterns and Sequences (Final Review),8,True,2.28,2.44
p7_t1_social_studies_0101,Social Studies,1.0 Living Together in Africa,8,True,2.24,2.39
p7_t1_social_studies_1205,Social Studies,Living Together in Africa,8,True,2.34,2.49
