run_id,lesson_id,subject,lesson_code,pptx_path,pdf_path,outline_path,trace_path,infographic_path,status,blocking_failure_count,warning_count
uganda-p7-mvp,p7_t1_christian_religious_education_0101,Christian Religious Education,0101,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_0101/p7_t1_christian_religious_education_0101.pptx,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_0101/p7_t1_christian_religious_education_0101.pdf,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_0101/outline.json,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_0101/trace.json,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_0101/infographic.svg,pass,0,0
uganda-p7-mvp,p7_t1_christian_religious_education_1205,Christian Religious Education,1205,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_1205/p7_t1_christian_religious_education_1205.pptx,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_1205/p7_t1_christian_religious_education_1205.pdf,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_1205/outline.json,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_1205/trace.json,.runs/uganda-p7-mvp/p7_t1_christian_religious_education_1205/infographic.svg,pass,0,0
uganda-p7-mvp,p7_t1_english_0101,English,0101,.runs/uganda-p7-mvp/p7_t1_english_0101/p7_t1_english_0101.pptx,.runs/uganda-p7-mvp/p7_t1_english_0101/p7_t1_english_0101.pdf,.runs/uganda-p7-mvp/p7_t1_english_0101/outline.json,.runs/uganda-p7-mvp/p7_t1_english_0101/trace.json,.runs/uganda-p7-mvp/p7_t1_english_0101/infographic.svg,pass,0,0
uganda-p7-mvp,p7_t1_english_1205,English,1205,.runs/uganda-p7-mvp/p7_t1_english_1205/p7_t1_english_1205.pptx,.runs/uganda-p7-mvp/p7_t1_english_1205/p7_t1_english_1205.pdf,.runs/uganda-p7-mvp/p7_t1_english_1205/outline.json,.runs/uganda-p7-mvp/p7_t1_english_1205/trace.json,.runs/uganda-p7-mvp/p7_t1_english_1205/infographic.svg,pass,0,0
uganda-p7-mvp,p7_t1_integrated_science_0101,Integrated Science,0101,.runs/uganda-p7-mvp/p7_t1_integrated_science_0101/p7_t1_integrated_science_0101.pptx,.runs/uganda-p7-mvp/p7_t1_integrated_science_0101/p7_t1_integrated_science_0101.pdf,.runs/uganda-p7-mvp/p7_t1_integrated_science_0101/outline.json,.runs/uganda-p7-mvp/p7_t1_integrated_science_0101/trace.json,.runs/uganda-p7-mvp/p7_t1_integrated_science_0101/infographic.svg,pass,0,0
uganda-p7-mvp,p7_t1_integrated_science_1205,Integrated Science,1205,.runs/uganda-p7-mvp/p7_t1_integrated_science_1205/p7_t1_integrated_science_1205.pptx,.runs/uganda-p7-mvp/p7_t1_integrated_science_1205/p7_t1_integrated_science_1205.pdf,.runs/uganda-p7-mvp/p7_t1_integrated_science_1205/outline.json,.runs/uganda-p7-mvp/p7_t1_integrated_science_1205/trace.json,.runs/uganda-p7-mvp/p7_t1_integrated_science_1205/infographic.svg,pass,0,0
uganda-p7-mvp,p7_t1_mathematics_0101,Mathematics,0101,.runs/uganda-p7-mvp/p7_t1_mathematics_0101/p7_t1_mathematics_0101.pptx,.runs/uganda-p7-mvp/p7_t1_mathematics_0101/p7_t1_mathematics_0101.pdf,.runs/uganda-p7-mvp/p7_t1_mathematics_0101/outline.json,.runs/uganda-p7-mvp/p7_t1_mathematics_0101/trace.json,.runs/uganda-p7-mvp/p7_t1_mathematics_0101/infographic.svg,pass,0,0
uganda-p7-mvp,p7_t1_mathematics_1205,Mathematics,1205,.runs/uganda-p7-mvp/p7_t1_mathematics_1205/p7_t1_mathematics_1205.pptx,.runs/uganda-p7-mvp/p7_t1_mathematics_1205/p7_t1_mathematics_1205.pdf,.runs/uganda-p7-mvp/p7_t1_mathematics_1205/outline.json,.runs/uganda-p7-mvp/p7_t1_mathematics_1205/trace.json,.runs/uganda-p7-mvp/p7_t1_mathematics_1205/infographic.svg,pass,0,0
uganda-p7-mvp,p7_t1_social_studies_0101,Social Studies,0101,.runs/uganda-p7-mvp/p7_t1_social_studies_0101/p7_t1_social_studies_0101.pptx,.runs/uganda-p7-mvp/p7_t1_social_studies_0101/p7_t1_social_studies_0101.pdf,.runs/uganda-p7-mvp/p7_t1_social_studies_0101/outline.json,.runs/uganda-p7-mvp/p7_t1_social_studies_0101/trace.json,.runs/uganda-p7-mvp/p7_t1_social_studies_0101/infographic.svg,pass,0,0
uganda-p7-mvp,p7_t1_social_studies_1205,Social Studies,1205,.runs/uganda-p7-mvp/p7_t1_social_studies_1205/p7_t1_social_studies_1205.pptx,.runs/uganda-p7-mvp/p7_t1_social_studies_1205/p7_t1_social_studies_1205.pdf,.runs/uganda-p7-mvp/p7_t1_social_studies_1205/outline.json,.runs/uganda-p7-mvp/p7_t1_social_studies_1205/trace.json,.runs/uganda-p7-mvp/p7_t1_social_studies_1205/infographic.svg,pass,0,0
